accession,cluster_id,split
Q01668,301,train
Q9Y6J0,302,train
Q13402,303,train
Q8NB66,304,train
O14795,304,train
Q9UPW8,304,train
Q92673,305,train
O95425,306,train
Q7Z5N4,307,train
Q58EX2,307,train
Q9UHV7,308,val
Q71F56,308,val
P50748,309,train
Q8N3C0,310,val
P24821,311,train
Q8N201,312,train
Q96BY6,313,train
Q5H8C1,314,train
Q5TH69,315,train
Q93074,316,val
Q86YW9,316,val
Q86TB3,317,test
Q99102,318,train
Q9UIF8,319,train
Q9Y566,320,train
Q13459,321,val
P48634,322,test
Q5VYJ5,323,train
P56715,324,train
O75443,325,test
Q5THK1,326,train
P49750,327,test
Q8IZY2,328,val
Q9H583,329,test
Q96HP0,330,train
Q96N67,330,train
O75643,331,train
Q8NFU7,332,train
Q9ULL4,333,val
O43157,333,val
Q14674,334,train
Q6PIF6,335,train
Q14980,336,train
Q12789,337,train
Q2KJY2,338,train
Q86YA3,339,train
Q5HYC2,340,train
P42356,341,train
A4QPH2,341,train
Q8NF50,342,train
Q9Y2I7,343,train
O60522,344,train
P35658,345,train
Q8N4C6,346,train
Q14676,347,val
A7KAX9,348,train
Q9NZM1,349,train
O75923,349,train
E9PAV3,350,train
Q9BZK3,350,train
Q9H009,350,train
Q13765,350,train
Q96BY7,351,train
Q5JSL3,352,train
Q9BZ29,352,train
Q8WYB5,353,test
Q86XA9,354,train
Q9P2D3,354,train
O75970,355,train
O00468,356,val
Q8IVV2,357,train
Q14686,358,train
Q96PE2,359,train
Q6UB98,360,train
Q9HD67,361,train
A0AVI2,362,train
Q92614,363,train
O60469,364,train
Q8TD84,364,train
Q8IYD8,365,train
Q92576,366,train
P17927,367,train
Q2VPA4,367,train
Q6GYQ0,368,train
P51610,369,val
Q9Y5Z7,369,val
Q92817,370,test
Q14008,371,train
Q8IZD9,372,train
Q8N1I0,372,train
Q9P219,373,train
Q3V6T2,373,train
O14578,374,train
P53804,375,train
Q15154,376,train
Q9BX84,377,val
Q5TZA2,378,val
Q15858,379,train
P35499,379,train
P35498,379,train
Q14524,379,train
Q9NY46,379,train
Q9UQD0,379,train
Q99250,379,train
Q38SD2,380,train
Q92621,381,val
A6NHR9,382,train
Q92794,383,val
Q99466,384,val
Q7RTP6,385,train
O94851,385,train
Q6N021,386,train
Q12873,387,train
Q8TDI0,387,train
Q14839,387,train
P23467,388,train
Q9HC10,389,train
Q2WGJ9,389,train
Q8TF72,390,train
P35749,391,train
P35579,391,train
P35580,391,train
Q7Z406,391,train
Q14669,392,train
Q9C0D5,393,train
Q9HCD6,393,train
O60293,394,val
Q8NEV8,395,train
Q68DN1,396,train
Q9Y623,397,train
P13533,397,train
Q9UKX3,397,train
Q9Y2K3,397,train
Q9H6N6,397,train
P12882,397,train
P13535,397,train
A7E2Y1,397,train
P12883,397,train
P11055,397,train
Q9UKX2,397,train
Q9UKL3,398,train
O60318,399,train
Q15643,400,train
Q14966,401,train
Q12888,402,train
P24928,403,train
Q6ZMW3,404,train
Q05BV3,404,train
Q9UPS6,405,train
Q8NDV7,406,train
Q9UGU0,407,test
Q5T5U3,408,train
Q6YHU6,409,train
Q9HCM3,410,test
Q4ZG55,411,train
P18433,412,train
P10586,412,train
Q13332,412,train
P23468,412,train
P23469,412,train
Q9H1A4,413,val
Q5T5P2,414,train
Q07283,415,train
P42694,416,train
Q562E7,417,train
A6QL64,418,train
Q8N2N9,418,train
Q5JPF3,418,train
Q2TAZ0,419,train
Q9P2N4,420,val
P59510,420,val
P09848,421,train
Q9H227,421,train
Q6ZU64,422,train
Q9Y4D7,423,val
Q9C091,424,test
Q9UPY3,425,val
Q8TDM6,426,train
Q9P2E3,427,train
Q15746,428,train
Q13129,429,train
Q5TCS8,430,train
Q7Z2Z1,431,train
O14513,432,test
Q7Z401,433,train
Q5VZ89,433,train
Q5JRA6,434,train
Q96L96,435,train
Q7Z5J4,436,train
Q9Y4B5,437,train
Q5TF21,437,train
O75096,438,val
Q9UIF9,439,train
A3KMH1,440,test
Q9UKA4,441,train
Q9P2P1,442,train
O75147,443,train
P51805,444,train
Q9UIW2,444,train
O75051,444,train
Q9HCM2,444,train
Q4ZHG4,445,train
Q96SN8,446,train
Q5VU65,447,train
Q8TEM1,447,train
Q6ZT12,448,train
Q8IZJ3,449,train
Q92545,450,train
Q9H2Y7,451,train
Q9ULI4,452,train
P16157,453,test
Q8NEY1,454,train
Q13698,455,train
Q8N7Z5,456,train
Q2PPJ7,457,train
Q8IZX4,458,val
P21675,458,val
Q14690,459,train
Q14185,460,train
Q92608,460,train
Q9H7D0,460,train
Q86WG5,461,train
O95248,461,train
Q86WI3,462,train
Q96QT4,463,train
P38398,464,test
P29122,465,train
Q92824,465,train
P16519,465,train
P29120,465,train
P09958,465,train
Q92538,466,test
Q9Y6X6,467,train
Q9P242,467,train
Q8IZD2,468,test
O95153,469,train
Q9ULV0,470,train
Q9Y4I1,470,train
Q9NQX4,470,train
Q96MT7,471,train
Q9Y6D6,472,train
Q9Y6D5,472,train
O14981,473,train
Q6ZVL6,474,test
Q5VYK3,475,test
Q9UL36,476,train
Q96QE3,477,train
Q14997,478,train
Q702N8,479,train
O15031,480,train
P02452,481,train
P02458,481,train
P05997,481,train
P12107,481,train
Q5TAT6,481,train
P08123,481,train
P02461,481,train
Q9BXS0,481,train
P20908,481,train
P25940,481,train
A7E2V4,482,train
Q68CP9,483,train
Q8IY92,484,train
Q9UPQ9,485,train
O15015,486,train
O14646,487,train
O14647,487,train
P11137,488,train
Q9NQT8,489,val
Q9H1H9,489,val
P55196,490,train
Q16363,491,train
Q9C093,492,train
P16144,493,train
Q14767,494,val
Q96Q89,495,train
Q96RT7,496,train
P52948,497,test
O60333,498,train
Q12756,498,train
Q69YN4,499,train
Q5JV73,500,train
P49815,501,train
Q9BY89,502,train
Q9P2F8,503,train
O60292,503,train
O43166,503,train
Q460N5,504,val
Q5VW36,505,train
Q8NI35,506,train
Q9BYP7,507,val
P55268,508,train
P07942,508,train
Q05707,509,train
A9Z1Z3,510,train
D6RIA3,511,train
Q7Z6E9,512,train
Q9BXP8,513,train
Q13219,513,train
Q9UI33,514,train
M0R2J8,515,train
Q02952,516,train
Q9ULH0,517,train
Q86UW6,518,val
O94822,519,train
Q8N6G6,520,train
P82987,520,train
Q7LBC6,521,test
A4D0S4,522,val
Q86V15,523,train
O60437,524,train
Q8IWV8,525,train
Q8IWV7,525,train
Q6W2J9,526,test
P39060,527,train
Q5SRE5,528,train
Q76NI1,529,train
Q9UG01,530,train
Q07157,531,train
Q96KV7,532,train
Q9HCM1,533,train
Q9H792,534,val
P0C0L4,535,train
P0C0L5,535,train
Q9ULI1,536,train
Q9Y4F3,537,train
Q8IZF0,538,train
Q2KHR3,539,train
Q9HBL0,540,train
Q5VT25,541,train
Q9Y5S2,541,train
Q09013,541,train
Q9HCF6,542,train
Q7Z4N2,542,train
Q9BYB0,543,train
Q86VF7,544,test
Q9C0C2,545,train
Q7KZ85,546,train
Q9UKK3,547,val
Q8N1P7,548,train
Q9Y4K1,548,train
Q96JM4,549,train
Q9NZ56,550,train
O60449,551,train
Q14766,552,train
Q15811,553,train
Q9NZM3,553,train
O95602,554,val
Q9Y4F4,555,test
Q13029,556,train
Q7Z3U7,557,train
O60346,558,train
Q6ZVD8,558,train
Q17RW2,559,train
Q5H9U9,560,train
Q8IY21,560,train
Q9HDB5,561,train
P58401,561,train
Q9Y4C0,561,train
Q9ULB1,561,train
P58400,561,train
Q9P2S2,561,train
Q5H9F3,562,train
Q6NSI1,563,train
Q9UPS8,563,train
O94986,564,train
Q9BZZ2,565,val
Q9ULL0,566,val
Q6R327,567,train
O15047,568,val
Q8IZH2,569,train
Q8N1W1,570,train
Q8WZ64,571,train
Q99758,572,train
Q9P1Z9,573,val
Q8IVF5,574,train
Q2M3C7,575,train
Q14999,576,train
O75038,577,val
Q4KWH8,577,val
Q86UR5,578,val
Q9UJD0,578,val
Q8N9V7,579,train
Q9HCJ0,580,train
Q9BY66,581,train
P29375,581,train
Q9UGL1,581,train
P41229,581,train
Q86U86,582,test
Q92766,583,val
P52746,584,train
O00443,585,train
O00750,585,train
P58397,586,test
Q9UKP4,586,test
P52179,587,train
Q70EL1,588,train
Q8IWJ2,589,train
Q8WWI1,590,train
Q149N8,591,val
P63313,592,train
Q01118,592,train
Q5JPB2,593,train
P01031,594,test
Q00610,595,train
P53675,595,train
A6NES4,596,train
O75037,597,train
Q7Z4S6,597,train
Q9Y6Y1,598,test
Q9UK61,599,train
Q5T200,600,train
Q8N7X0,601,train
Q8NDM7,602,train
Q5VV67,603,val
Q9H0J4,604,train
Q8WZ74,605,train
P01024,606,train
O43151,607,val
Q70Z35,608,test
Q8TCU6,608,test
Q9C0I4,609,test
Q9UPZ6,609,test
Q96Q42,610,train
P46940,611,train
Q86VI3,611,train
Q13576,611,train
H7BZ55,612,train
Q6T4R5,613,val
Q9HCK4,614,train
Q9Y6N7,614,train
O95785,615,train
Q9P1Y6,616,val
Q9P2K8,617,val
Q15058,618,test
Q8WXG6,619,train
P51531,620,train
P51532,620,train
Q5TAX3,621,test
O15054,622,train
Q8IUA7,623,train
Q8WWZ7,623,train
Q8NDA8,624,train
Q9UFD9,625,train
A6NNM3,625,train
Q9H3S7,626,test
Q96QE4,627,train
O60309,627,train
Q9BTT6,628,train
Q14160,628,train
P11388,629,train
Q02880,629,train
Q8NFW1,630,train
Q8N2S1,631,val
Q9BXT8,632,train
A6NE52,633,train
P48681,634,test
Q13395,635,test
Q9P2K1,636,train
P29376,637,train
Q9UM73,637,train
O60303,638,train
Q8N139,639,val
Q4W5N1,639,val
Q8WWZ4,639,val
O94911,639,val
Q8NEV4,640,train
Q8WXR4,640,train
Q13796,641,train
P26358,642,train
O75197,643,train
O75581,643,train
Q5SYE7,644,train
Q96PN6,645,train
A2VDJ0,646,test
O95631,647,train
P11047,647,train
Q9Y6N6,647,train
Q9Y6R4,648,train
Q96RK0,649,train
Q76N89,650,train
Q9P2P5,650,train
Q8NFA0,651,train
P35125,651,train
Q07092,652,train
O75140,653,test
Q5TGY3,654,train
Q5T5Y3,655,train
Q9Y4G8,656,train
Q8TEU7,656,train
Q04637,657,train
O43432,657,train
Q8IW93,658,test
Q12774,658,test
A5YM69,658,test
Q9Y6X0,659,train
Q8TDY2,660,train
Q8NI27,661,train
P56381,661,train
Q13009,662,train
Q8N2E2,663,train
Q9Y4F5,664,train
Q5K651,665,train
Q8IVG5,665,train
Q9GZU2,666,train
Q9NZV7,666,train
P10070,667,train
Q7Z745,668,train
O60241,669,train
Q5SW79,670,train
Q96L14,670,train
O60242,671,train
O14514,671,train
Q9C0B2,672,train
Q7Z2Y5,673,train
O60706,674,train
Q09428,674,train
Q15648,675,train
P10071,676,train
Q5SYB0,677,val
Q6XZF7,678,train
Q9P265,679,train
Q9Y2E4,679,train
Q14689,679,train
Q6ZQQ2,680,train
A1L4H1,681,train
O15056,682,train
O43426,682,train
O60486,683,train
Q6ZWJ8,684,test
Q9P2R6,685,train
O15061,686,test
Q149M9,687,train
Q6PGP7,688,train
O15069,689,train
Q96JN8,690,train
Q5T890,691,train
Q9NZM4,692,val
Q9ULG1,693,train
Q9NRL2,694,train
O94913,695,test
Q9NYU2,696,test
Q9NYU1,696,test
Q6DT37,697,train
Q9NRD9,698,train
Q9NRD8,698,train
Q5VZL5,699,train
O95789,699,train
Q92887,700,train
P33527,700,train
O15438,700,train
Q8WWN8,701,train
Q9NZN5,702,train
Q9NRJ4,703,train
O75095,704,train
Q8IXJ9,705,train
Q7Z3T8,706,train
Q7Z460,707,train
O75122,707,train
Q12766,708,train
Q96NW7,709,train
Q8TEK3,710,test
O75094,711,train
O94813,711,train
O75093,711,train
Q9BVV6,712,train
P35573,713,train
O94916,714,train
Q96JP2,715,train
Q5RHP9,716,train
Q9BX26,717,train
Q96QB1,718,test
Q92502,718,test
Q9Y3M8,718,test
Q14146,719,train
Q96F81,720,test
Q8N3D4,721,train
Q92547,722,train
O15085,723,train
Q8TER5,724,train
O60336,725,test
O43379,725,test
Q5QGS0,726,train
Q8N2Y8,727,train
Q9P2D6,728,test
Q13233,729,train
Q14004,730,train
P50750,730,train
Q9NYV4,730,train
Q9ULD9,731,train
P07814,732,train
Q8TEQ6,733,train
Q9Y4B6,734,train
P57071,735,train
P39880,736,train
Q13948,736,train
Q9Y2I1,737,train
Q8IWU2,738,test
O95255,739,test
O94759,740,train
A4FU69,741,train
Q13017,742,train
Q9NRY4,742,train
Q9UKJ3,743,train
Q5THR3,744,train
P35670,745,train
Q04656,745,train
O94823,746,train
Q9P241,746,train
O60312,746,train
Q86UU0,747,train
Q08378,748,train
P42695,749,train
Q8IWB6,750,train
Q9UMD9,751,test
O75064,752,train
Q5VYS8,753,test
Q86X10,754,val
Q9P267,755,train
Q8IVE3,756,test
Q9ULM0,756,test
Q9ULL8,757,train
P0DP91,758,test
Q03468,758,test
Q5T3U5,759,train
Q96QZ7,760,test
Q9P227,761,train
Q9Y4E6,762,test
Q08AD1,763,train
Q13428,764,train
Q6DN90,765,train
Q5JU85,765,train
O14529,766,train
O60306,767,train
Q12879,768,train
Q13224,768,train
Q14957,768,train
O15399,768,train
Q9BXF3,769,train
Q6AHZ1,770,train
Q9UIG0,771,train
P20742,772,train
P01023,772,train
Q5TCQ9,773,train
P13569,774,test
Q9UBG0,775,train
Q92626,776,val
Q14C86,777,train
Q9BQS8,778,train
A6NC98,779,test
P49790,780,train
O95490,781,train
O94910,781,train
Q9HAR2,781,train
Q9C000,782,train
Q9Y2G2,782,train
Q9UPX8,783,val
Q5SXM2,784,train
Q5SNV9,785,val
Q9Y4B4,786,train
Q5VTT5,787,train
P54296,787,train
Q15596,788,train
A0JNW5,789,train
Q6BDS2,789,train
Q13018,790,train
Q99590,791,train
P30414,792,train
Q6ZNL6,793,train
P09884,794,train
Q96RY7,795,val
Q92859,796,train
P43146,796,train
Q9BXM0,797,train
Q5VT52,798,train
Q96Q04,799,train
Q9UPV0,800,train
Q6P1J6,801,train
Q9ULI0,802,train
Q6PL18,802,train
P22897,803,train
Q86UL8,804,train
O15360,805,train
O60244,806,train
Q5T9S5,807,train
A8K2U0,808,train
Q6ZRR7,809,train
Q86VB7,810,test
Q9NR16,810,test
Q9UHC1,811,train
P28827,812,val
Q92729,812,val
O14522,812,val
Q9BXW9,813,val
Q6ZP82,814,train
Q96P48,815,train
Q13635,816,train
Q29RF7,817,test
Q9NTI5,817,test
O14924,818,train
O43665,818,train
O75747,819,train
Q6YHK3,820,test
Q6ZUB1,821,train
Q68CZ2,822,train
Q2M1Z3,823,val
Q5VXU9,824,train
Q10570,825,train
Q9C0A6,826,test
Q15788,827,val
Q96T23,828,train
Q15262,829,train
Q7Z591,830,train
P30622,831,train
Q9UDT6,831,train
Q9BZ95,832,train
O15440,833,train
Q12769,834,train
Q9Y2L5,835,train
Q711Q0,836,val
A2PYH4,837,train
Q76L83,838,train
Q6F5E8,839,train
P29475,840,train
P29474,840,train
Q7Z5J8,841,train
O43314,842,train
Q6PFW1,842,train
Q14191,843,train
Q6IE36,844,train
Q8WXD9,845,train
Q8WXE0,845,train
Q9UNF1,846,train
Q12816,846,train
O43293,847,train
Q9UIK4,847,train
P53355,847,train
Q6ZV73,848,val
Q9H6S0,849,train
Q9ULJ7,850,test
Q5VV63,851,train
O75882,851,train
Q8N3P4,852,train
Q14207,853,train
Q3MJ40,854,train
Q6NUI1,854,train
Q8IYA2,854,train
A2RUR9,854,train
Q76LX8,855,train
O75161,856,train
O00512,857,train
O95405,858,train
Q9Y6Q9,859,test
Q4ADV7,860,train
O94964,861,train
Q8WYL5,862,train
Q76I76,862,train
Q2V2M9,863,train
Q9ULM3,864,train
Q86US8,865,train
Q68DA7,866,train
P54132,867,train
Q9BZF9,868,test
Q8TER0,869,train
B1AJZ9,870,test
Q86UF2,871,train
Q96PC5,871,train
Q96RT6,871,train
Q8IX94,871,train
A4FU28,871,train
Q96RT1,872,train
Q9UQ26,873,train
Q9H426,873,train
O15014,874,train
O15040,875,train
Q15075,876,train
Q9P2E9,877,train
Q7Z3K3,878,train
Q63HR2,879,train
Q86YV5,880,train
Q49AJ0,881,train
P82279,882,train
Q9NXG0,883,train
Q92954,884,train
Q13075,885,train
Q5TB80,886,train
A7MBM2,887,train
Q86VH2,888,train
O14607,889,train
O15550,889,train
Q6P2E9,890,train
Q15021,891,train
Q04912,892,train
Q9BY12,893,test
Q9BXX3,894,train
Q9BXX2,894,train
Q8WWL7,895,val
Q92628,896,train
Q96D09,897,train
Q5JY77,897,train
P42704,898,train
Q9BWH6,899,train
Q9H2M9,900,train
A3KN83,901,train
Q9P2K9,902,train
O75694,903,train
O14802,904,train
P08581,905,train
O75116,906,train
Q13464,906,train
Q9NS87,907,test
Q8NET4,908,train
P39059,909,train
Q9H7P9,910,train
Q96MS0,911,train
Q6P158,912,train
Q96M83,913,train
Q9ULL1,914,train
P78357,915,train
Q8WX93,916,train
Q9UHN6,917,train
Q9Y2I6,918,train
Q14152,919,train
Q8NDG6,920,train
P06213,921,train
P08069,921,train
Q9ULI3,922,train
O75976,923,train
P14384,923,train
Q96HA7,924,train
Q86UU1,925,test
Q9UBW7,926,train
Q8IY17,927,train
Q6ZV29,927,train
Q14112,928,train
Q96K76,929,train
Q6ZN16,930,train
Q99683,930,train
O95382,930,train
Q6ZMQ8,931,test
Q9NRR4,932,train
Q8ND23,933,train
Q5VZK9,934,train
Q14202,935,train
Q5JR59,936,train
O15013,937,train
Q9HCE6,937,train
Q7Z478,938,train
Q5T7B8,939,test
Q9ULK4,940,train
Q9Y2G9,941,train
Q2KHR2,942,train
P35968,943,train
P35916,943,train
Q15059,944,train
O60885,944,train
Q6ZSZ5,945,train
Q8WUJ3,946,test
P52701,947,train
O95819,948,val
Q9UKE5,948,val
Q8N4C8,948,val
Q96J65,949,train
Q9UHC9,950,train
Q9P266,951,train
Q99570,952,train
A6NKG5,953,train
Q92752,954,test
Q96Q06,955,train
Q86UP2,956,train
Q8TEW0,957,train
Q12767,958,train
Q9ULU8,959,test
Q86UW7,959,test
O60503,960,train
Q9P2D0,961,test
Q70CQ4,962,train
Q14678,963,test
Q9BZ72,964,val
A4D1E1,965,test
Q9UPX0,966,train
Q9BZA7,967,val
Q9BZA8,967,val
Q9HC56,967,val
Q92823,968,train
O94856,968,train
Q6ZU65,969,train
Q9H6K5,970,train
Q9H0D2,971,train
Q8IZF2,972,test
Q2M1P5,973,train
Q96PV0,974,train
P21860,975,train
P00533,975,train
P04626,975,train
Q15303,975,train
Q8NEZ3,976,train
Q9H4Z2,977,train
Q9Y4E1,978,train
Q641Q2,978,train
Q9UKV3,979,val
O14525,980,train
O75129,980,train
Q9HAW4,981,train
Q9HC77,982,train
P17948,983,test
O15067,984,train
P47989,985,train
Q06278,985,train
Q8IWK6,986,train
Q96PE1,986,train
Q9Y4H2,987,train
Q12913,988,val
Q8TE82,989,val
Q04118,990,train
Q9C0J8,990,train
Q9UPT6,991,train
O60271,991,train
Q9Y2K7,992,train
Q8NHM5,992,train
Q8N6C5,993,test
Q8N122,994,train
Q07889,995,test
Q07890,995,test
O95163,996,train
Q14005,997,train
Q9UHC6,998,train
Q9BZ76,998,train
Q9C0A0,998,train
Q8WYK1,998,train
Q7Z494,999,val
Q9HCH0,1000,train
Q56UN5,1001,train
Q9NVI1,1002,test
Q9BQG0,1003,val
O95271,1004,train
Q9H2K2,1004,train
Q9H582,1005,val
Q6TFL3,1006,val
O15439,1007,train
Q6R2W3,1008,train
Q9H9J4,1009,test
Q9BXA9,1010,train
Q9NSC2,1010,train
